item_idx,degree,degree_group,embedding_norm_mean,embedding_norm_std,dataset,log1p_degree
144,44,medium,2.3813906,0.13326007,MovieLens-1M,3.8066624897703196
145,32,medium,2.771784,0.10186517,MovieLens-1M,3.4965075614664802
146,52,medium,2.5877268,0.19647345,MovieLens-1M,3.970291913552122
147,78,medium,2.9492629,0.1065793,MovieLens-1M,4.3694478524670215
148,48,medium,2.7159557,0.022138031,MovieLens-1M,3.8918202981106265
149,58,medium,2.823058,0.08425456,MovieLens-1M,4.07753744390572
150,478,high,3.4792063,0.004112209,MovieLens-1M,6.171700597410915
151,364,high,3.569857,0.022126205,MovieLens-1M,5.8998973535824915
152,272,high,3.1952343,0.018197378,MovieLens-1M,5.60947179518496
153,209,medium,3.2759378,0.07586222,MovieLens-1M,5.3471075307174685
154,457,high,3.5447998,0.050525945,MovieLens-1M,6.126869184114185
155,15,medium,3.2043345,0.017462729,MovieLens-1M,2.772588722239781
156,1,low,3.2957451,0.16325279,MovieLens-1M,0.6931471805599453
157,120,medium,3.0961065,0.060086887,MovieLens-1M,4.795790545596741
158,8,low,3.2288973,0.119895436,MovieLens-1M,2.1972245773362196
159,117,medium,2.8755283,0.0946213,MovieLens-1M,4.770684624465665
160,55,medium,2.7400105,0.13848859,MovieLens-1M,4.02535169073515
161,88,medium,3.2459857,0.08421227,MovieLens-1M,4.48863636973214
162,73,medium,3.0511305,0.08107548,MovieLens-1M,4.30406509320417
163,14,medium,3.049967,0.09493976,MovieLens-1M,2.70805020110221
164,119,medium,2.918073,0.10859142,MovieLens-1M,4.787491742782046
165,149,medium,3.0862968,0.064408526,MovieLens-1M,5.0106352940962555
166,39,medium,2.9514,0.15435034,MovieLens-1M,3.6888794541139363
167,10,medium,2.6806831,0.08659183,MovieLens-1M,2.3978952727983707
168,2,low,3.1038342,0.13197197,MovieLens-1M,1.0986122886681098
169,251,high,3.4854145,0.08249216,MovieLens-1M,5.529429087511423
170,6,low,3.100879,0.11003893,MovieLens-1M,1.9459101490553132
171,18,medium,3.00465,0.10449196,MovieLens-1M,2.9444389791664403
172,15,medium,2.7778842,0.077314235,MovieLens-1M,2.772588722239781
173,10,medium,2.9855268,0.2035278,MovieLens-1M,2.3978952727983707
174,151,medium,3.0668678,0.09341065,MovieLens-1M,5.0238805208462765
175,44,medium,2.7393353,0.03652327,MovieLens-1M,3.8066624897703196
176,42,medium,2.6617823,0.17786095,MovieLens-1M,3.7612001156935624
177,79,medium,2.7957747,0.08587868,MovieLens-1M,4.382026634673881
178,7,low,2.8326538,0.18190083,MovieLens-1M,2.0794415416798357
179,64,medium,3.011153,0.037001505,MovieLens-1M,4.174387269895637
180,12,medium,2.9191844,0.10614549,MovieLens-1M,2.5649493574615367
181,1,low,3.362915,0.08651012,MovieLens-1M,0.6931471805599453
182,22,medium,2.5719593,0.03215678,MovieLens-1M,3.1354942159291497
