item_idx,embedding_norm,degree,degree_group
419,0.5380941,11.0,medium
420,0.4402225,20.0,medium
421,2.1075027,197.0,medium
422,1.5227615,3.0,low
423,1.831012,128.0,medium
424,1.2547749,45.0,medium
425,1.787271,92.0,medium
426,0.8656359,38.0,medium
427,1.0018202,18.0,medium
428,1.4227914,22.0,medium
429,2.7057552,453.0,high
430,1.4144181,51.0,medium
431,1.3563082,67.0,medium
432,3.8973851,1592.0,high
433,0.9932531,35.0,medium
434,1.1593977,36.0,medium
435,2.0123837,4.0,low
436,1.5125008,38.0,medium
437,1.1049168,5.0,low
438,1.0720185,10.0,medium
439,1.6581757,48.0,medium
440,0.8975746,48.0,medium
441,1.9215082,144.0,medium
442,0.5174739,23.0,medium
443,1.9089373,143.0,medium
444,1.3600824,21.0,medium
445,1.8506452,1.0,low
446,2.3554382,350.0,high
447,0.6073653,10.0,medium
448,1.5540036,14.0,medium
449,2.9489222,672.0,high
450,2.2100332,227.0,medium
451,0.8686926,8.0,low
452,1.6868075,103.0,medium
453,1.4546007,2.0,low
454,1.3669242,29.0,medium
455,4.1923847,1698.0,high
456,1.7686374,137.0,medium
457,1.6009495,89.0,medium
458,1.3711088,46.0,medium
459,1.9418888,7.0,low
460,1.5210915,84.0,medium
461,1.7228323,17.0,medium
462,1.1348646,14.0,medium
463,0.6853254,18.0,medium
464,0.81403214,11.0,medium
465,1.354377,86.0,medium
466,1.6288908,92.0,medium
467,2.0055249,211.0,medium
468,1.9199258,174.0,medium
469,2.1296206,194.0,medium
470,1.1113244,21.0,medium
471,1.3777852,15.0,medium
472,2.7904625,487.0,high
473,0.921861,12.0,medium
474,0.9380622,8.0,low
475,2.7624125,400.0,high
476,1.9292512,50.0,medium
477,1.601654,10.0,medium
478,1.2611979,8.0,low
479,1.5190699,54.0,medium
480,0.93254054,10.0,medium
481,1.54046,62.0,medium
482,1.8141205,166.0,medium
483,2.548404,390.0,high
484,2.5577493,383.0,high
485,1.6785263,5.0,low
486,1.7381775,54.0,medium
487,1.5768363,49.0,medium
